time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
0	4807.47	0	0	0	0	0	0	0	0	0	0	0	
10000	4807.47	0.181859	0.0234762	0	1.77067e-07	0	1.19955e-06	0	5.11699e-08	0	0	0	
20000	4807.47	0.36371	0.0895133	2.9743e-08	2.71119e-07	0	4.2192e-07	0	3.24903e-06	0	0	0	
30000	4807.47	0.545555	0.186669	1.15809e-05	4.46278e-07	3.24299e-07	1.11865e-06	0	1.41882e-06	0	0	0	
40000	4807.47	0.727392	0.306577	3.53401e-05	9.37182e-07	7.79406e-07	3.12966e-06	0	2.87251e-07	0	0	0	
50000	4807.47	0.909223	0.443119	7.3575e-05	2.02753e-06	1.65254e-06	6.44188e-06	0	2.24043e-07	0	0	0	
60000	4807.47	1.09105	0.591822	0.000127943	4.03444e-06	3.30358e-06	1.11503e-05	0	8.26599e-07	0	0	0	
70000	4807.47	1.27286	0.749415	0.000199654	7.29707e-06	6.10061e-06	1.74269e-05	4.85952e-08	1.83188e-06	0	0	0	
80000	4807.47	1.45467	0.913507	0.000289595	1.21684e-05	1.04153e-05	2.54974e-05	1.74905e-06	3.1885e-06	0	0	0	
90000	4807.47	1.63648	1.08235	0.000398409	1.90091e-05	1.66195e-05	3.56251e-05	4.74671e-06	5.00717e-06	0	0	0	
100000	4807.47	1.81827	1.25466	0.000526569	2.81833e-05	2.50832e-05	4.80983e-05	9.46181e-06	7.50954e-06	0	0	0	
110000	4807.47	2.00006	1.42951	0.000674419	4.00555e-05	3.61728e-05	6.32215e-05	1.63222e-05	1.09897e-05	0	0	0	
120000	4807.47	2.18184	1.60621	0.000842209	5.49883e-05	5.025e-05	8.13091e-05	2.57538e-05	1.57866e-05	0	0	0	
130000	4807.47	2.36362	1.78427	0.00103012	7.33408e-05	6.7671e-05	0.000102681	3.81751e-05	2.22655e-05	0	0	0	
140000	4807.47	2.54538	1.96331	0.00123829	9.54674e-05	8.8786e-05	0.000127658	5.39932e-05	3.08041e-05	0	0	0	
150000	4807.47	2.72714	2.14307	0.00146681	0.000121717	0.000113939	0.000156561	7.36022e-05	4.17845e-05	0	0	0	
160000	4807.47	2.9089	2.32336	0.00171575	0.000152433	0.000143466	0.00018971	9.73822e-05	5.55869e-05	0	0	0	
170000	4807.47	3.09065	2.50403	0.00198516	0.000187953	0.0001777	0.000227418	0.000125699	7.25856e-05	0	2.64951e-06	0	
180000	4807.47	3.27239	2.68497	0.00227508	0.000228606	0.000216962	0.000269997	0.000158905	9.31474e-05	1.82473e-05	1.46047e-05	0	
190000	4807.47	3.45412	2.86612	0.00258552	0.000274717	0.000261571	0.000317752	0.000197339	0.000117629	4.20354e-05	2.91517e-05	0	
200000	4807.47	3.63584	3.04741	0.00291652	0.000326603	0.000311837	0.000370985	0.000241328	0.000146379	7.03847e-05	4.64039e-05	0	
210000	4807.47	3.81756	3.22881	0.00326808	0.000384575	0.000368063	0.000429988	0.000291185	0.000179734	0.000103489	6.64671e-05	0	
