time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
0	1	0	0	0	0	0	0	0	0	0	0	0	
10000	1	1.56328e-14	2.47578e-19	10000	2.75799e-23	10000	8.9938e-29	10000	9.90625e-26	10000	10000	1.00929e-25	
20000	1	3.1265e-14	9.44002e-19	8.64455e-22	4.22296e-23	20000	3.1634e-29	20000	6.28996e-24	20000	20000	4.2703e-23	
30000	1	4.68966e-14	1.9686e-18	3.36589e-19	6.95123e-23	9.08813e-27	8.38725e-29	30000	2.74676e-24	30000	30000	1.06111e-22	
40000	1	6.25276e-14	3.23314e-18	1.02713e-18	1.45975e-22	2.1842e-26	2.3465e-28	40000	5.56103e-25	40000	40000	1.42783e-22	
50000	1	7.8158e-14	4.6731e-18	2.13839e-18	3.15808e-22	4.63107e-26	4.82988e-28	50000	4.33736e-25	50000	50000	1.88028e-22	
60000	1	9.37878e-14	6.24132e-18	3.71855e-18	6.28404e-22	9.25793e-26	8.36009e-28	60000	1.60025e-24	60000	60000	2.72021e-22	
70000	1	1.09417e-13	7.90329e-18	5.80278e-18	1.13659e-21	1.70963e-25	1.3066e-27	9.89175e-25	3.54644e-24	70000	70000	4.13994e-22	
80000	1	1.25046e-13	9.63379e-18	8.41681e-18	1.89535e-21	2.91877e-25	1.9117e-27	3.56026e-23	6.17278e-24	80000	80000	6.24577e-22	
90000	1	1.40674e-13	1.14144e-17	1.15794e-17	2.96085e-21	4.65743e-25	2.67104e-27	9.6621e-23	9.69363e-24	90000	90000	9.08487e-22	
100000	1	1.56301e-13	1.32316e-17	1.53043e-17	4.38983e-21	7.0293e-25	3.60623e-27	1.92599e-22	1.45381e-23	100000	100000	1.26663e-21	
110000	1	1.71928e-13	1.50755e-17	1.96014e-17	6.23905e-21	1.0137e-24	4.74011e-27	3.32244e-22	2.12754e-23	110000	110000	1.69765e-21	
120000	1	1.87554e-13	1.6939e-17	2.44781e-17	8.56499e-21	1.4082e-24	6.09625e-27	5.24229e-22	3.05621e-23	120000	120000	2.19901e-21	
130000	1	2.0318e-13	1.88168e-17	2.99396e-17	1.14236e-20	1.89641e-24	7.69861e-27	7.77069e-22	4.31048e-23	130000	130000	2.76781e-21	
140000	1	2.18805e-13	2.0705e-17	3.59898e-17	1.487e-20	2.48813e-24	9.5713e-27	1.09905e-21	5.96352e-23	140000	140000	3.40133e-21	
150000	1	2.34429e-13	2.26007e-17	4.26315e-17	1.89587e-20	3.19301e-24	1.17384e-26	1.4982e-21	8.08928e-23	150000	150000	4.09744e-21	
160000	1	2.50053e-13	2.4502e-17	4.98668e-17	2.3743e-20	4.0205e-24	1.42237e-26	1.98225e-21	1.07613e-22	160000	160000	4.85485e-21	
