time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
0	156512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
604800	156512	28072.8	26541.6	0.000689999	3.81555e-11	7.42491e-17	1.45923e-17	1.38464e-17	2.73917e-21	1.33284e-17	2.87663e-24	1.63115e-17	2.50994e-17	4.2937e-21	4.35513e-21	4.86346e-22	6.87391e-29	2.21194e-24	6.84169e-28	0	
1.2096e+06	156512	51026.3	49732.5	0.00274797	3.17186e-10	1.27905e-15	4.36477e-16	4.19012e-16	8.18901e-20	4.02174e-16	7.62042e-23	4.55358e-16	6.89197e-16	1.30219e-19	1.83658e-19	4.17367e-20	3.22882e-27	3.98034e-22	5.55088e-26	0	
1.8144e+06	156512	69794.1	68696	0.00592907	1.05209e-09	6.48227e-15	2.88979e-15	2.80006e-15	5.39504e-19	2.66254e-15	5.82973e-22	2.97403e-15	3.39566e-15	6.75561e-19	1.53878e-18	4.89786e-19	2.74582e-26	7.19301e-21	6.54808e-25	0	
2.4192e+06	156512	85139.5	84201.5	0.0100285	2.41869e-09	2.01396e-14	1.05482e-14	1.02904e-14	1.96486e-18	9.7201e-15	2.40764e-21	1.08114e-14	8.78241e-15	1.84224e-18	6.78087e-18	2.65834e-18	1.21828e-25	5.29765e-20	3.57061e-24	0	
3.024e+06	156512	97686.5	96878.9	0.0148788	4.56076e-09	4.80049e-14	2.80148e-14	2.74519e-14	5.22965e-18	2.58738e-14	6.87045e-21	2.85878e-14	1.69776e-14	3.75843e-18	2.11088e-17	9.56319e-18	3.82009e-25	2.41378e-19	1.28708e-23	0	
3.6288e+06	156512	107945	107243	0.0203429	7.59584e-09	9.68936e-14	6.11072e-14	6.00133e-14	1.14865e-17	5.6714e-14	1.53036e-20	6.1868e-14	3.09659e-14	7.05809e-18	5.28432e-17	2.66522e-17	9.64255e-25	8.15696e-19	3.58539e-23	0	
4.2336e+06	156512	116334	115717	0.0263091	1.162e-08	1.74489e-13	1.16648e-13	1.14577e-13	2.21849e-17	1.09096e-13	2.8375e-20	1.16617e-13	6.25051e-14	1.39232e-17	1.13931e-16	6.24503e-17	2.09724e-24	2.24878e-18	8.37826e-23	0	
4.8384e+06	156512	123192	122644	0.0326857	1.6712e-08	2.89183e-13	2.02286e-13	1.98327e-13	3.91037e-17	1.91175e-13	4.52371e-20	1.986e-13	1.39882e-13	2.94612e-17	2.20343e-16	1.29106e-16	4.0914e-24	5.35019e-18	1.72364e-22	0	
5.4432e+06	156512	128800	128308	0.0393979	2.29358e-08	4.49949e-13	3.26346e-13	3.18807e-13	6.367e-17	3.1039e-13	6.45011e-20	3.15643e-13	3.07416e-13	6.25052e-17	3.92735e-16	2.4284e-16	7.33256e-24	1.13869e-17	3.21946e-22	0	
6.048e+06	156512	133385	132940	0.0463845	3.03442e-08	6.66236e-13	4.97714e-13	4.85473e-13	9.68638e-17	4.7294e-13	9.39513e-20	4.80242e-13	5.18591e-13	1.05417e-16	6.57043e-16	4.24322e-16	1.22779e-23	2.22139e-17	5.60595e-22	0	
6.6528e+06	156512	137134	136728	0.0535954	3.89801e-08	9.4788e-13	7.2572e-13	7.08114e-13	1.40677e-16	6.88145e-13	1.38804e-19	7.01595e-13	7.41515e-13	1.52068e-16	1.04379e-15	6.98988e-16	1.95018e-23	4.04119e-17	9.23083e-22	0	
7.2576e+06	156512	140200	139826	0.0609898	4.88786e-08	1.30503e-12	1.02007e-12	9.96524e-13	1.96974e-16	9.65149e-13	2.02746e-19	9.89488e-13	9.65674e-13	2.00667e-16	1.58876e-15	1.09728e-15	2.96782e-23	6.94296e-17	1.45048e-21	0	
7.8624e+06	156512	142706	142358	0.0685342	6.00684e-08	1.7481e-12	1.39076e-12	1.36057e-12	2.67854e-16	1.31392e-12	2.87853e-19	1.35299e-12	1.19642e-12	2.52203e-16	2.33305e-15	1.65484e-15	4.3588e-23	1.13729e-16	2.19048e-21	0	
8.4672e+06	156512	144756	144429	0.0762012	7.2573e-08	2.28772e-12	1.84805e-12	1.81e-12	3.55714e-16	1.7454e-12	3.93599e-19	1.79993e-12	1.46455e-12	3.12163e-16	3.3231e-15	2.4127e-15	6.21189e-23	1.78933e-16	3.19709e-21	0	
9.072e+06	156512	146431	146121	0.0839685	8.64116e-08	2.93468e-12	2.40239e-12	2.35423e-12	4.63322e-16	2.27176e-12	5.15808e-19	2.33628e-12	1.83647e-12	3.9235e-16	4.61076e-15	3.41741e-15	8.62648e-23	2.71969e-16	4.53007e-21	0	
9.6768e+06	156512	147801	147505	0.0918178	1.016e-07	3.69991e-12	3.06438e-12	3.00218e-12	5.93886e-16	2.90655e-12	6.45564e-19	2.96564e-12	2.42472e-12	5.12777e-16	6.2533e-15	4.72112e-15	1.17122e-22	4.0122e-16	6.25421e-21	0	
1.02816e+07	156512	148922	148637	0.0997341	1.18151e-07	4.59448e-12	3.84478e-12	3.76195e-12	7.50707e-16	3.66375e-12	7.68399e-19	3.69012e-12	3.40281e-12	7.04962e-16	8.31363e-15	6.38171e-15	1.55872e-22	5.76663e-16	8.43784e-21	0	
1.08864e+07	156512	149837	149562	0.107705	1.36074e-07	5.62953e-12	4.75448e-12	4.64551e-12	9.27891e-16	4.53048e-12	9.1178e-19	4.55287e-12	4.63305e-12	9.53998e-16	1.08655e-14	8.4628e-15	2.03676e-22	8.10017e-16	1.11647e-20	0	
1.14912e+07	156512	150586	150319	0.115721	1.5538e-07	6.81629e-12	5.80444e-12	5.66991e-12	1.13068e-15	5.52548e-12	1.10734e-18	5.56152e-12	5.74663e-12	1.18569e-15	1.39839e-14	1.10339e-14	2.62088e-22	1.11488e-15	1.45474e-20	0	
1.2096e+07	156512	151199	150937	0.123774	1.76074e-07	8.16605e-12	7.00568e-12	6.84618e-12	1.36147e-15	6.65998e-12	1.35799e-18	6.72593e-12	6.74123e-12	1.39943e-15	1.77503e-14	1.41705e-14	3.32671e-22	1.50685e-15	1.86882e-20	0	
1.27008e+07	156512	151699	151443	0.131856	1.98162e-07	9.69016e-12	8.36929e-12	8.18472e-12	1.6231e-15	7.94651e-12	1.66192e-18	8.05347e-12	7.65978e-12	1.60268e-15	2.22518e-14	1.79538e-14	4.17096e-22	2.0037e-15	2.3695e-20	0	
1.33056e+07	156512	152109	151857	0.139963	2.2165e-07	1.14e-11	9.90641e-12	9.69519e-12	1.91888e-15	9.39915e-12	2.01156e-18	9.5485e-12	8.60139e-12	1.81287e-15	2.75811e-14	2.24711e-14	5.17134e-22	2.62546e-15	2.96802e-20	0	
1.39104e+07	156512	152444	152195	0.14809	2.4654e-07	1.3307e-11	1.16282e-11	1.13863e-11	2.25273e-15	1.10338e-11	2.39242e-18	1.12118e-11	9.73245e-12	2.05947e-15	3.38367e-14	2.78158e-14	6.34644e-22	3.39456e-15	3.67591e-20	0	
1.45152e+07	156512	152717	152471	0.156234	2.72836e-07	1.54225e-11	1.35459e-11	1.32656e-11	2.62921e-15	1.28683e-11	2.78192e-18	1.30399e-11	1.12978e-11	2.38592e-15	4.11222e-14	3.40869e-14	7.7156e-22	4.33598e-15	4.50482e-20	0	
1.512e+07	156512	152941	152697	0.164391	3.00541e-07	1.77581e-11	1.56706e-11	1.53394e-11	3.05367e-15	1.49228e-11	3.14828e-18	1.50246e-11	1.3632e-11	2.85171e-15	4.95471e-14	4.13898e-14	9.29879e-22	5.4773e-15	5.46636e-20	0	
1.57248e+07	156512	153124	152882	0.172559	3.29657e-07	2.03253e-11	1.80138e-11	1.76143e-11	3.51817e-15	1.71796e-11	3.49077e-18	1.72093e-11	1.69466e-11	3.51129e-15	5.92331e-14	4.98358e-14	1.11144e-21	6.84892e-15	6.57216e-20	0	
1.63296e+07	156512	153274	153033	0.180735	3.60185e-07	2.31355e-11	2.05866e-11	2.01202e-11	4.01708e-15	1.96247e-11	3.93719e-18	1.96622e-11	1.99903e-11	4.13774e-15	7.03104e-14	5.95422e-14	1.31896e-21	8.48406e-15	7.84612e-20	0	
1.69344e+07	156512	153396	153157	0.188919	3.92127e-07	2.62003e-11	2.34005e-11	2.28722e-11	4.55922e-15	2.22878e-11	4.49828e-18	2.23743e-11	2.2568e-11	4.68501e-15	8.2906e-14	7.06325e-14	1.55517e-21	1.0419e-14	9.30727e-20	0	
1.75392e+07	156512	153496	153258	0.197109	4.25484e-07	2.95312e-11	2.64666e-11	2.58797e-11	5.14833e-15	2.51841e-11	5.16365e-18	2.53481e-11	2.48045e-11	5.17489e-15	9.71548e-14	8.32361e-14	1.82266e-21	1.26929e-14	1.09725e-19	0	
1.8144e+07	156512	153578	153341	0.205304	4.60256e-07	3.31397e-11	2.97964e-11	2.91509e-11	5.78889e-15	2.83313e-11	5.91375e-18	2.85814e-11	2.69131e-11	5.64504e-15	1.13197e-13	9.74884e-14	2.12408e-21	1.53484e-14	1.28585e-19	0	
1.87488e+07	156512	153645	153408	0.213503	4.96445e-07	3.70374e-11	3.3401e-11	3.26926e-11	6.48619e-15	3.17495e-11	6.71879e-18	3.20668e-11	2.92074e-11	6.151e-15	1.31178e-13	1.13531e-13	2.46212e-21	1.84312e-14	1.4982e-19	0	
1.93536e+07	156512	153699	153464	0.221706	5.34052e-07	4.12358e-11	3.72919e-11	3.65097e-11	7.24646e-15	3.54616e-11	7.53755e-18	3.5791e-11	3.21123e-11	6.76825e-15	1.5125e-13	1.31511e-13	2.83947e-21	2.19905e-14	1.7359e-19	0	
1.99584e+07	156512	153744	153509	0.22991	5.73076e-07	4.57465e-11	4.14803e-11	4.06056e-11	8.07692e-15	3.94937e-11	8.31622e-18	3.97342e-11	3.61756e-11	7.59421e-15	1.73567e-13	1.51583e-13	3.25886e-21	2.60788e-14	2.00048e-19	0	
2.05632e+07	156512	153780	153546	0.238118	6.13519e-07	5.0581e-11	4.59775e-11	4.49805e-11	8.98097e-15	4.3861e-11	8.99225e-18	4.38872e-11	4.21059e-11	8.76226e-15	1.98296e-13	1.73906e-13	3.7228e-21	3.07524e-14	2.29327e-19	0	
2.1168e+07	156512	153810	153576	0.246326	6.5538e-07	5.57509e-11	5.07951e-11	4.96623e-11	9.91916e-15	4.84528e-11	9.75607e-18	4.84451e-11	4.85226e-11	1.00677e-14	2.25629e-13	1.98645e-13	4.23447e-21	3.60711e-14	2.6172e-19	0	
2.17728e+07	156512	153835	153600	0.254537	6.9866e-07	6.12678e-11	5.59443e-11	5.46901e-11	1.09141e-14	5.33359e-11	1.07263e-17	5.33807e-11	5.38046e-11	1.11741e-14	2.55739e-13	2.25974e-13	4.79903e-21	4.20983e-14	2.97657e-19	0	
2.23776e+07	156512	153855	153621	0.262748	7.43359e-07	6.71431e-11	6.14365e-11	6.00717e-11	1.19708e-14	5.85293e-11	1.18791e-17	5.86892e-11	5.82053e-11	1.21261e-14	2.88809e-13	2.56069e-13	5.41993e-21	4.89015e-14	3.3736e-19	0	
