time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
604800	10	2.69299e-11	2.95381e-13	2.49666e-12	4.32259e-20	1.81811e-27	2.38167e-33	1.29981e-36	2.07778e-42	1.10873e-35	5.16607e-47	1.01266e-35	2.17889e-42	1.77828e-40	1.66313e-33	1.14833e-37	1.89217e-47	1.44982e-38	9.56952e-47	5.68159e-41	
1.2096e+06	10	4.8949e-11	5.53471e-13	9.94315e-12	3.59337e-19	3.13197e-26	7.12393e-32	3.93339e-35	6.21174e-41	3.3455e-34	1.36853e-45	2.82697e-34	5.98294e-41	5.39316e-39	7.01349e-32	9.85457e-36	8.88792e-46	2.60892e-36	7.76406e-45	2.18843e-38	
1.8144e+06	10	6.69528e-11	7.64515e-13	2.14535e-11	1.1919e-18	1.58729e-25	4.71655e-31	2.6285e-34	4.09238e-40	2.21484e-33	1.04695e-44	1.84635e-33	2.94778e-40	2.79791e-38	5.87626e-31	1.15645e-34	7.55839e-45	4.71467e-35	9.15885e-44	6.11794e-37	
2.4192e+06	10	8.16734e-11	9.37076e-13	3.62867e-11	2.74011e-18	4.93152e-25	1.72161e-30	9.65991e-34	1.49043e-39	8.08571e-33	4.32383e-44	6.71198e-33	7.62404e-40	7.62985e-38	2.58946e-30	6.27669e-34	3.35353e-44	3.47236e-34	4.99423e-43	6.1338e-36	
3.024e+06	10	9.37097e-11	1.07816e-12	5.38367e-11	5.16683e-18	1.17548e-24	4.57241e-30	2.57699e-33	3.96693e-39	2.15232e-32	1.23385e-43	1.7748e-32	1.47383e-39	1.5566e-37	8.06098e-30	2.25799e-33	1.05155e-43	1.58212e-33	1.80025e-42	3.55069e-35	
3.6288e+06	10	1.03551e-10	1.19351e-12	7.36081e-11	8.60525e-18	2.3726e-24	9.97356e-30	5.63362e-33	8.71305e-39	4.71778e-32	2.74834e-43	3.84091e-32	2.68816e-39	2.92319e-37	2.01796e-29	6.29293e-33	2.65429e-43	5.34649e-33	5.01491e-42	1.45967e-34	
4.2336e+06	10	1.11598e-10	1.28781e-12	9.51958e-11	1.31642e-17	4.27265e-24	1.90387e-29	1.07557e-32	1.68283e-38	9.0752e-32	5.0958e-43	7.23984e-32	5.42609e-39	5.76643e-37	4.35077e-29	1.47453e-32	5.77304e-43	1.47396e-32	1.17187e-41	4.75115e-34	
4.8384e+06	10	1.18177e-10	1.3649e-12	1.18269e-10	1.89328e-17	7.08113e-24	3.3016e-29	1.86175e-32	2.96619e-38	1.5903e-31	8.12403e-43	1.23295e-31	1.21432e-38	1.22017e-36	8.41439e-29	3.04835e-32	1.12623e-42	3.50679e-32	2.41086e-41	1.30568e-33	
5.4432e+06	10	1.23557e-10	1.42793e-12	1.42556e-10	2.59837e-17	1.10178e-23	5.32644e-29	2.99273e-32	4.82966e-38	2.58199e-31	1.15836e-42	1.95959e-31	2.66869e-38	2.58872e-36	1.49977e-28	5.73376e-32	2.01843e-42	7.46356e-32	4.50308e-41	3.15653e-33	
6.048e+06	10	1.27955e-10	1.47949e-12	1.67836e-10	3.43766e-17	1.63139e-23	8.1234e-29	4.55728e-32	7.34756e-38	3.93418e-31	1.68725e-42	2.98146e-31	4.5019e-38	4.36594e-36	2.5091e-28	1.00188e-31	3.37973e-42	1.45602e-31	7.84108e-41	6.90269e-33	
6.6528e+06	10	1.31552e-10	1.52164e-12	1.93928e-10	4.41601e-17	2.32104e-23	1.18448e-28	6.64727e-32	1.0671e-37	5.72436e-31	2.49276e-42	4.35567e-31	6.43712e-38	6.29805e-36	3.98598e-28	1.6504e-31	5.36822e-42	2.6488e-31	1.29112e-40	1.39261e-32	
